distance between (1,2): 0.604317
distance between (2,3): 0.13598
distance between (3,4): 0.0510405
distance between (4,5): 0.0230528
distance between (5,6): 0.0115355
distance between (6,7): 0.00620902
distance between (7,8): 0.00354752
distance between (8,9): 0.00206339
distance between (9,10): 0.00114952
distance between (10,11): 0.000646614
distance between (11,12): 0.000364605
distance between (12,13): 0.000204713
distance between (13,14): 0.000113786
distance between (14,15): 6.21652e-05
distance between (15,16): 3.31418e-05
distance between (16,17): 1.70857e-05
distance between (17,18): 8.42065e-06
distance between (18,19): 3.91139e-06
distance between (19,20): 1.68863e-06
distance between (20,21): 6.39241e-07
distance between (21,22): 1.88863e-07
distance between (22,23): 3.78741e-08
